ambito,region,provincia,distrito,numero_local,nombre_local,estado_mesa_pdf,numero_mesa,presidencial_estado_acta,presidencial_electores_habiles,presidencial_votos_emitidos,presidencial_votos_validos,presidencial_participacion_pct,presidencial_centro_poblado,presidencial_local_web,presidencial_alianza_electoral_venceremos,presidencial_partido_patriotico_del_peru,presidencial_partido_civico_obras,presidencial_frente_popular_agricola_fia_del_peru,presidencial_partido_democrata_verde,presidencial_partido_del_buen_gobierno,presidencial_partido_politico_peru_accion,presidencial_partido_politico_prin,presidencial_progresemos,presidencial_partido_sicreo,presidencial_partido_pais_para_todos,presidencial_partido_frente_de_la_esperanza_2021,presidencial_partido_politico_nacional_peru_libre,presidencial_partido_ciudadanos_por_el_peru,presidencial_primero_la_gente_comunidad_ecologia_libertad_y_progreso,presidencial_juntos_por_el_peru,presidencial_podemos_peru,presidencial_partido_democratico_federal,presidencial_fe_en_el_peru,presidencial_partido_politico_integridad_democratica,presidencial_fuerza_popular,presidencial_alianza_para_el_progreso,presidencial_partido_politico_cooperacion_popular,presidencial_ahora_nacion_an,presidencial_libertad_popular,presidencial_un_camino_diferente,presidencial_avanza_pais_partido_de_integracion_social,presidencial_peru_moderno,presidencial_partido_politico_peru_primero,presidencial_salvemos_al_peru,presidencial_partido_democratico_somos_peru,presidencial_partido_aprista_peruano,presidencial_renovacion_popular,presidencial_partido_democrata_unido_peru,presidencial_fuerza_y_libertad,presidencial_partido_de_los_trabajadores_y_emprendedores_pte_peru,presidencial_unidad_nacional,presidencial_partido_morado,presidencial_votos_blanco,presidencial_votos_nulos,presidencial_votos_impugnados
PERÚ,CAJAMARCA,CUTERVO,QUEROCOTILLO,50080,IE SAN MARCOS,Instalada,901454,Para envío al JEE,299,,,0.0,SILLANGATE,IE SAN MARCOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CAJAMARCA,JAEN,COLASAY,7362,IE 16090 JOSE CARLOS MARIATEGUI,Instalada,901510,Para envío al JEE,221,,,0.0,CEDRO DEL PASTO,IE 16090 JOSE CARLOS MARIATEGUI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CAJAMARCA,SAN MIGUEL,NIEPOS,54894,IE 82764,Instalada,901657,Contabilizada,64,55,41,85.938,EL NARANJO,IE 82764,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,11,1,0,0,0,8,1,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,6,0
PERÚ,CAJAMARCA,SAN MIGUEL,SAN GREGORIO,1276,IE HORACIO ZEVALLOS GAMEZ,Instalada,901658,Contabilizada,279,236,166,84.588,CASA BLANCA,IE HORACIO ZEVALLOS GAMEZ,0,1,10,0,1,1,0,0,2,0,4,1,1,0,0,71,3,0,0,0,61,3,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,49,21,0
PERÚ,CAJAMARCA,SAN MIGUEL,EL PRADO,1279,IE 82742,Instalada,901667,Contabilizada,260,209,171,80.385,QUINDEN BAJO,IE 82742,2,0,10,0,3,0,0,1,0,1,5,3,3,0,0,55,4,0,0,0,60,2,0,1,1,0,2,0,8,0,5,0,2,2,0,0,0,1,34,4,0
PERÚ,CUSCO,LA CONVENCION,ECHARATE,1471,IE 50300 VIRGEN DE LAS MERCEDES,Instalada,901830,Para envío al JEE,282,,,0.0,PALMA REAL,IE 50300 VIRGEN DE LAS MERCEDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CUSCO,LA CONVENCION,ECHARATE,1482,IE 501108 MEDIO URUBAMBA IVOCHOTE,Instalada,901848,Para envío al JEE,263,,,0.0,IVOCHOTE,IE 501108 MEDIO URUBAMBA IVOCHOTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CUSCO,LA CONVENCION,SANTA TERESA,54719,IE VIRGEN DEL CARMEN,Instalada,901856,Para envío al JEE,203,,,0.0,CHAUPIMAYO A SULLUCUYOC,IE VIRGEN DEL CARMEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CUSCO,LA CONVENCION,VILCABAMBA,1488,IE 50321 YUVENI,Instalada,901861,Para envío al JEE,283,,,0.0,YUBENI,IE 50321 YUVENI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CUSCO,LA CONVENCION,MEGANTONI,53506,IE 64553 TICUMPINIA,Por Informar,901884,Para envío al JEE,171,,,0.0,TICUMPINIA,IE 64553 TICUMPINIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CUSCO,LA CONVENCION,MEGANTONI,53506,IE 64553 TICUMPINIA,Por Informar,901885,Para envío al JEE,179,,,0.0,TICUMPINIA,IE 64553 TICUMPINIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,CUSCO,QUISPICANCHI,CCATCA,55233,IE ANDAYAQUE,Instalada,901921,Contabilizada,215,190,153,88.372,ANDAYAQUE,IE ANDAYAQUE,3,1,9,0,0,2,1,0,2,0,0,4,5,0,0,107,5,0,0,0,3,0,0,5,0,0,0,1,1,0,2,0,1,0,0,0,1,0,30,7,0
